 	2q	Intensity
314	16.444	269.300
315	16.508	267.931
316	16.572	267.611
317	16.636	266.327
318	16.700	264.499
319	16.764	263.393
320	16.828	263.276
321	16.892	262.041
322	16.956	260.299
323	17.019	259.671
324	17.083	258.380
325	17.147	257.143
326	17.211	256.617
327	17.275	258.169
328	17.339	256.923
329	17.403	254.456
330	17.467	252.362
331	17.531	250.194
332	17.595	249.172
333	17.659	248.409
334	17.723	247.257
335	17.787	246.646
336	17.851	245.038
337	17.915	243.256
338	17.979	243.116
339	18.043	243.067
340	18.106	242.133
341	18.170	239.461
342	18.234	237.282
343	18.298	236.439
344	18.362	236.557
345	18.426	236.373
346	18.490	234.729
347	18.554	231.687
348	18.618	231.500
349	18.682	231.736
350	18.746	229.686
351	18.810	228.671
352	18.874	227.246
353	18.938	227.544
354	19.002	225.927
355	19.066	224.074
356	19.130	223.239
357	19.194	223.226
358	19.257	221.697
359	19.321	222.560
360	19.385	221.095
361	19.449	219.484
362	19.513	217.875
363	19.577	217.651
364	19.641	216.154
365	19.705	217.493
366	19.769	218.134
367	19.833	220.755
368	19.897	215.534
369	19.961	215.244
370	20.025	215.372
371	20.089	214.570
372	20.153	212.554
373	20.217	213.070
374	20.281	212.167
375	20.344	211.301
376	20.408	211.215
377	20.472	207.828
378	20.536	207.644
379	20.600	208.482
380	20.664	207.904
381	20.728	207.347
382	20.792	206.974
383	20.856	207.990
384	20.920	207.873
385	20.984	207.254
386	21.048	207.285
387	21.112	208.747
388	21.176	210.241
389	21.240	211.076
390	21.304	212.027
391	21.368	213.597
392	21.431	216.504
393	21.495	221.472
394	21.559	224.426
395	21.623	228.851
396	21.687	238.715
397	21.751	252.367
398	21.815	268.152
399	21.879	295.806
400	21.943	341.927
401	22.007	421.246
402	22.071	583.050
403	22.135	1035.379
404	22.199	2934.454
405	22.263	9904.745
406	22.327	12088.536
407	22.391	4954.834
408	22.455	1586.111
409	22.519	728.551
410	22.582	464.625
411	22.646	353.289
412	22.710	295.578
413	22.774	263.332
414	22.838	241.299
415	22.902	226.204
416	22.966	215.293
417	23.030	207.140
418	23.094	201.761
419	23.158	196.451
420	23.222	192.967
421	23.286	188.386
422	23.350	184.835
423	23.414	182.226
424	23.478	179.996
425	23.542	177.650
426	23.606	176.530
427	23.669	174.986
428	23.733	175.987
429	23.797	174.026
430	23.861	173.570
431	23.925	173.269
432	23.989	171.682
433	24.053	169.686
434	24.117	168.629
435	24.181	168.023
436	24.245	167.347
437	24.309	166.937
438	24.373	165.608
439	24.437	165.190
440	24.501	163.928
441	24.565	163.452
442	24.629	161.816
443	24.693	163.098
444	24.756	162.469
445	24.820	161.855
446	24.884	162.417
447	24.948	162.395
448	25.012	162.219
449	25.076	163.061
450	25.140	164.397
451	25.204	166.809
452	25.268	171.482
453	25.332	178.099
454	25.396	186.144
455	25.460	202.315
456	25.524	234.557
457	25.588	309.475
458	25.652	578.299
459	25.716	1818.105
460	25.780	3455.616
461	25.844	2128.197
462	25.907	756.426
463	25.971	343.123
464	26.035	236.996
465	26.099	197.384
466	26.163	177.443
467	26.227	166.943
468	26.291	159.847
469	26.355	155.316
470	26.419	151.940
471	26.483	149.730
472	26.547	147.104
473	26.611	145.342
474	26.675	143.586
475	26.739	142.374
476	26.803	142.180
477	26.867	142.025
478	26.931	140.665
479	26.994	139.667
480	27.058	138.712
481	27.122	137.689
482	27.186	137.893
483	27.250	137.066
484	27.314	135.546
485	27.378	135.212
486	27.442	135.444
487	27.506	135.330
