 	2q	Intensity
1	28.430	143.000
2	28.494	137.098
3	28.558	138.466
4	28.622	136.578
5	28.686	134.777
6	28.750	134.096
7	28.814	134.118
8	28.878	134.587
9	28.942	133.652
10	29.006	133.360
11	29.069	133.444
12	29.133	133.314
13	29.197	132.258
14	29.261	132.009
15	29.325	132.110
16	29.389	132.069
17	29.453	131.029
18	29.517	131.498
19	29.581	131.926
20	29.645	132.212
21	29.709	131.351
22	29.773	130.906
23	29.837	130.622
24	29.901	131.351
25	29.965	131.337
26	30.029	130.596
27	30.093	130.166
28	30.156	129.582
29	30.220	129.754
30	30.284	130.216
31	30.348	129.769
32	30.412	130.560
33	30.476	130.104
34	30.540	129.650
35	30.604	129.366
36	30.668	130.151
37	30.732	129.364
38	30.796	129.521
39	30.860	129.886
40	30.924	129.448
41	30.988	129.934
42	31.052	130.174
43	31.116	130.780
44	31.180	131.017
45	31.244	130.470
46	31.307	130.577
47	31.371	130.606
48	31.435	129.829
49	31.499	129.728
50	31.563	129.959
51	31.627	129.786
52	31.691	130.903
53	31.755	130.169
54	31.819	129.307
55	31.883	129.833
56	31.947	131.205
57	32.011	131.106
58	32.075	131.806
59	32.139	131.951
60	32.203	132.142
61	32.267	132.846
62	32.331	133.568
63	32.394	131.984
64	32.458	130.606
65	32.522	130.849
66	32.586	131.054
67	32.650	129.803
68	32.714	130.285
69	32.778	131.564
70	32.842	131.142
71	32.906	130.866
72	32.970	130.719
73	33.034	131.333
74	33.098	130.541
75	33.162	128.809
76	33.226	129.516
77	33.290	128.552
78	33.354	128.407
79	33.418	127.783
80	33.481	128.141
81	33.545	128.101
82	33.609	129.324
83	33.673	128.715
84	33.737	127.568
85	33.801	127.333
86	33.865	128.309
87	33.929	128.262
88	33.993	127.500
89	34.057	127.220
90	34.121	126.847
91	34.185	127.600
92	34.249	128.826
93	34.313	128.775
94	34.377	128.503
95	34.441	128.596
96	34.505	127.764
97	34.569	127.773
98	34.632	128.347
99	34.696	128.060
100	34.760	128.873
101	34.824	129.353
102	34.888	128.574
103	34.952	129.473
104	35.016	130.533
105	35.080	130.934
106	35.144	131.143
107	35.208	130.993
108	35.272	131.576
109	35.336	131.173
110	35.400	131.316
111	35.464	132.719
112	35.528	132.938
113	35.592	134.269
114	35.656	134.546
115	35.719	135.658
116	35.783	137.673
117	35.847	138.957
118	35.911	141.093
119	35.975	143.936
120	36.039	147.370
121	36.103	150.444
122	36.167	154.598
123	36.231	158.999
124	36.295	164.435
125	36.359	173.811
126	36.423	186.783
127	36.487	207.902
128	36.551	243.629
129	36.615	305.829
130	36.679	448.092
131	36.743	878.493
132	36.806	2665.115
133	36.870	6395.233
134	36.934	5148.423
135	36.998	1914.366
136	37.062	733.689
137	37.126	398.327
138	37.190	279.329
139	37.254	223.859
140	37.318	194.680
141	37.382	174.683
142	37.446	162.589
143	37.510	154.755
144	37.574	150.059
145	37.638	146.404
146	37.702	140.262
147	37.766	137.347
148	37.830	136.345
149	37.894	134.524
150	37.957	131.634
151	38.021	130.119
152	38.085	129.398
153	38.149	127.889
154	38.213	128.098
155	38.277	127.719
156	38.341	126.363
157	38.405	125.916
158	38.469	125.328
159	38.533	124.394
160	38.597	124.148
161	38.661	124.200
162	38.725	123.410
163	38.789	122.525
164	38.853	122.434
165	38.917	122.368
166	38.981	121.897
167	39.044	122.231
168	39.108	121.882
169	39.172	122.103
170	39.236	121.628
171	39.300	120.867
172	39.364	120.620
173	39.428	120.396
174	39.492	120.826
175	39.556	121.143
176	39.620	121.107
177	39.684	120.161
178	39.748	121.083
179	39.812	120.657
180	39.876	120.977
181	39.940	121.800
182	40.004	122.902
183	40.068	122.031
184	40.131	121.527
185	40.195	120.712
186	40.259	120.126
187	40.323	119.726
188	40.387	120.131
189	40.451	118.774
190	40.515	118.776
191	40.579	118.943
192	40.643	119.141
193	40.707	117.884
194	40.771	117.643
195	40.835	117.240
196	40.899	117.263
197	40.963	117.219
198	41.027	117.559
199	41.091	117.262
200	41.155	116.247
201	41.219	116.618
202	41.282	116.550
203	41.346	117.108
204	41.410	116.846
205	41.474	116.309
206	41.538	116.477
