 	2q	Intensity
1	12.430	259.001
2	12.494	281.980
3	12.558	280.974
4	12.622	281.024
5	12.686	280.592
6	12.750	281.558
7	12.814	280.063
8	12.878	281.355
9	12.942	280.921
10	13.006	281.248
11	13.069	279.299
12	13.133	277.336
13	13.197	276.340
14	13.261	275.599
15	13.325	275.471
16	13.389	275.953
17	13.453	274.619
18	13.517	272.747
19	13.581	273.686
20	13.645	273.948
21	13.709	272.899
22	13.773	271.498
23	13.837	271.548
24	13.901	270.203
25	13.965	271.005
26	14.029	270.252
27	14.093	270.843
28	14.156	268.915
29	14.220	269.055
30	14.284	269.159
31	14.348	268.150
32	14.412	267.344
33	14.476	263.830
34	14.540	264.246
35	14.604	265.017
36	14.668	263.909
37	14.732	264.268
38	14.796	265.390
39	14.860	264.538
40	14.924	263.468
41	14.988	264.274
42	15.052	263.562
43	15.116	263.336
44	15.180	263.605
45	15.244	263.312
46	15.307	261.640
47	15.371	260.244
48	15.435	259.777
49	15.499	261.296
50	15.563	262.837
51	15.627	261.140
52	15.691	260.109
53	15.755	259.279
54	15.819	260.325
55	15.883	260.427
56	15.947	259.591
57	16.011	259.141
58	16.075	258.234
59	16.139	258.809
60	16.203	259.339
61	16.267	259.204
62	16.331	258.697
63	16.394	257.987
64	16.458	257.101
65	16.522	255.114
66	16.586	254.332
67	16.650	253.735
68	16.714	251.823
69	16.778	252.737
70	16.842	251.582
71	16.906	251.395
72	16.970	250.803
73	17.034	249.661
74	17.098	248.134
75	17.162	247.593
76	17.226	246.873
77	17.290	247.308
78	17.354	246.582
79	17.418	243.860
80	17.481	243.853
81	17.545	242.937
82	17.609	243.385
83	17.673	240.834
84	17.737	240.126
85	17.801	238.827
86	17.865	238.888
87	17.929	239.260
88	17.993	238.396
89	18.057	236.884
90	18.121	234.844
91	18.185	233.975
92	18.249	233.639
93	18.313	232.625
94	18.377	232.368
95	18.441	231.738
96	18.505	232.362
97	18.569	228.651
98	18.632	227.504
99	18.696	228.192
100	18.760	225.711
101	18.824	226.616
102	18.888	225.240
103	18.952	224.373
104	19.016	223.238
105	19.080	223.094
106	19.144	223.738
107	19.208	222.429
108	19.272	222.392
109	19.336	219.801
110	19.400	219.452
111	19.464	220.002
112	19.528	219.061
113	19.592	219.752
114	19.656	217.496
115	19.719	216.894
116	19.783	216.128
117	19.847	218.180
118	19.911	218.873
119	19.975	216.292
120	20.039	213.686
121	20.103	215.180
122	20.167	215.122
123	20.231	215.080
124	20.295	214.040
125	20.359	212.074
126	20.423	211.722
127	20.487	211.045
128	20.551	212.469
129	20.615	212.456
130	20.679	211.660
131	20.743	211.048
132	20.806	210.708
133	20.870	208.538
134	20.934	209.838
135	20.998	210.341
136	21.062	211.089
137	21.126	212.187
138	21.190	212.810
139	21.254	212.243
140	21.318	214.668
141	21.382	217.811
142	21.446	220.039
143	21.510	221.859
144	21.574	224.690
145	21.638	229.815
146	21.702	235.996
147	21.766	242.903
148	21.830	254.094
149	21.894	271.396
150	21.957	296.799
151	22.021	338.578
152	22.085	410.001
153	22.149	558.550
154	22.213	957.094
155	22.277	2605.800
156	22.341	8418.068
157	22.405	11688.558
158	22.469	7155.335
159	22.533	2360.169
160	22.597	914.977
161	22.661	538.036
162	22.725	390.929
163	22.789	320.314
164	22.853	281.274
165	22.917	257.339
166	22.981	240.319
167	23.044	227.412
168	23.108	219.301
169	23.172	212.823
170	23.236	207.724
171	23.300	204.779
172	23.364	201.695
173	23.428	198.380
174	23.492	195.017
175	23.556	192.312
176	23.620	189.157
177	23.684	189.301
178	23.748	188.103
179	23.812	187.302
180	23.876	187.907
181	23.940	186.526
182	24.004	185.574
183	24.068	185.343
184	24.131	184.537
185	24.195	183.388
186	24.259	182.566
187	24.323	181.236
188	24.387	183.164
189	24.451	180.599
190	24.515	180.396
191	24.579	179.356
192	24.643	178.591
193	24.707	179.208
194	24.771	179.290
195	24.835	178.441
196	24.899	178.098
197	24.963	177.730
198	25.027	177.535
199	25.091	179.581
200	25.155	181.416
201	25.219	183.175
202	25.282	185.723
203	25.346	189.259
204	25.410	195.017
205	25.474	204.143
206	25.538	220.434
207	25.602	252.148
208	25.666	329.524
209	25.730	609.122
210	25.794	1767.911
211	25.858	3204.193
212	25.922	2806.228
213	25.986	1083.511
214	26.050	431.934
215	26.114	281.223
216	26.178	228.197
217	26.242	203.752
218	26.306	190.585
219	26.369	181.989
220	26.433	177.612
221	26.497	174.160
222	26.561	171.642
223	26.625	166.879
224	26.689	166.803
225	26.753	164.424
226	26.817	162.972
227	26.881	163.035
228	26.945	162.783
229	27.009	160.532
230	27.073	159.869
231	27.137	160.610
232	27.201	159.300
233	27.265	158.443
234	27.329	158.265
235	27.393	159.741
236	27.456	156.991
237	27.520	157.815
238	27.584	157.543
239	27.648	156.230
240	27.712	154.599
241	27.776	155.107
242	27.840	155.940
243	27.904	155.374
244	27.968	156.109
245	28.032	156.740
246	28.096	157.775
247	28.160	157.735
248	28.224	155.767
249	28.288	154.049
250	28.352	153.418
251	28.416	153.427
252	28.480	153.638
253	28.544	153.558
254	28.607	152.600
255	28.671	151.675
256	28.735	150.904
257	28.799	150.695
258	28.863	148.980
259	28.927	148.130
260	28.991	148.418
261	29.055	147.282
262	29.119	147.976
263	29.183	149.068
264	29.247	149.367
265	29.311	148.673
266	29.375	146.976
267	29.439	146.944
268	29.503	146.780
269	29.567	146.109
270	29.631	145.466
271	29.694	144.909
272	29.758	144.806
273	29.822	145.157
274	29.886	145.071
275	29.950	143.887
276	30.014	143.826
277	30.078	142.742
278	30.142	141.168
279	30.206	141.901
280	30.270	142.199
281	30.334	141.713
282	30.398	141.479
283	30.462	141.555
284	30.526	141.303
285	30.590	140.607
286	30.654	140.572
287	30.718	141.164
288	30.781	141.411
289	30.845	140.912
290	30.909	140.618
291	30.973	139.966
292	31.037	140.258
293	31.101	140.716
294	31.165	139.939
295	31.229	139.598
296	31.293	139.831
297	31.357	139.934
298	31.421	140.764
299	31.485	140.369
300	31.549	140.327
301	31.613	140.613
302	31.677	140.487
303	31.741	140.950
304	31.805	139.501
305	31.869	140.597
306	31.932	140.310
307	31.996	141.130
308	32.060	140.677
309	32.124	140.984
310	32.188	140.350
311	32.252	140.036
312	32.316	138.862
313	32.380	139.030
314	32.444	138.451
315	32.508	138.050
316	32.572	138.606
317	32.636	137.571
318	32.700	136.856
319	32.764	136.414
320	32.828	135.942
321	32.892	135.257
322	32.956	135.776
323	33.019	135.541
324	33.083	134.767
325	33.147	134.851
326	33.211	135.604
327	33.275	134.998
328	33.339	133.562
329	33.403	133.529
330	33.467	133.928
331	33.531	133.820
332	33.595	133.222
333	33.659	132.189
334	33.723	131.651
335	33.787	131.963
336	33.851	131.700
337	33.915	131.306
338	33.979	131.969
339	34.043	131.715
340	34.106	131.461
341	34.170	131.083
342	34.234	131.446
343	34.298	131.756
344	34.362	131.845
345	34.426	131.520
346	34.490	130.478
347	34.554	130.167
348	34.618	130.706
349	34.682	130.654
350	34.746	130.933
351	34.810	130.768
352	34.874	130.681
353	34.938	131.455
354	35.002	131.199
355	35.066	131.073
356	35.130	131.084
357	35.194	132.210
358	35.257	132.378
359	35.321	132.103
360	35.385	132.263
361	35.449	134.358
362	35.513	134.747
363	35.577	136.233
364	35.641	136.874
365	35.705	137.196
