 	2q	Intensity
1	44.430	114.000
2	44.494	110.689
3	44.558	106.524
4	44.622	104.968
5	44.686	103.943
6	44.750	103.660
7	44.814	103.287
8	44.878	102.711
9	44.942	103.283
10	45.006	104.177
11	45.069	104.437
12	45.133	106.045
13	45.197	109.254
14	45.261	113.703
15	45.325	123.042
16	45.389	144.272
17	45.453	205.210
18	45.517	429.021
19	45.581	867.750
20	45.645	793.117
21	45.709	398.543
22	45.773	199.905
23	45.837	139.429
24	45.901	119.472
25	45.965	110.402
26	46.029	105.033
27	46.093	101.567
28	46.156	99.177
29	46.220	98.187
30	46.284	96.640
31	46.348	95.586
32	46.412	94.707
33	46.476	93.759
34	46.540	93.095
35	46.604	93.738
36	46.668	93.109
37	46.732	92.602
38	46.796	92.346
39	46.860	92.132
40	46.924	91.796
41	46.988	91.999
42	47.052	92.436
43	47.116	92.284
44	47.180	92.086
45	47.244	91.780
46	47.307	91.979
47	47.371	91.756
48	47.435	91.432
49	47.499	91.557
50	47.563	91.838
51	47.627	91.440
52	47.691	91.021
53	47.755	91.876
54	47.819	91.542
55	47.883	90.499
56	47.947	90.801
57	48.011	90.871
58	48.075	90.936
59	48.139	91.921
60	48.203	92.715
61	48.267	92.523
62	48.331	90.601
63	48.394	91.236
64	48.458	90.447
65	48.522	89.511
66	48.586	89.187
67	48.650	89.193
68	48.714	89.085
69	48.778	88.483
70	48.842	88.083
71	48.906	88.501
72	48.970	88.157
73	49.034	87.388
74	49.098	88.126
75	49.162	88.577
76	49.226	88.053
77	49.290	86.926
78	49.354	87.935
79	49.418	86.960
80	49.481	87.340
81	49.545	87.403
82	49.609	87.860
83	49.673	86.316
84	49.737	86.986
85	49.801	85.789
86	49.865	85.745
87	49.929	86.121
88	49.993	87.560
89	50.057	86.702
90	50.121	85.782
91	50.185	86.300
92	50.249	85.808
93	50.313	86.250
94	50.377	86.196
95	50.441	87.039
96	50.505	86.035
97	50.569	85.847
98	50.632	86.244
99	50.696	87.086
100	50.760	86.854
101	50.824	85.710
102	50.888	86.678
103	50.952	87.037
104	51.016	86.584
105	51.080	87.012
106	51.144	86.936
107	51.208	86.489
108	51.272	86.556
109	51.336	86.506
110	51.400	85.767
111	51.464	86.014
112	51.528	85.985
113	51.592	85.714
114	51.656	85.988
115	51.719	86.048
116	51.783	86.281
117	51.847	84.864
118	51.911	86.885
119	51.975	87.860
120	52.039	88.532
121	52.103	88.888
122	52.167	89.238
123	52.231	88.074
124	52.295	88.680
125	52.359	88.788
126	52.423	88.365
127	52.487	90.087
128	52.551	91.420
129	52.615	92.248
130	52.679	95.287
131	52.743	99.722
132	52.806	106.910
133	52.870	119.984
134	52.934	162.166
135	52.998	319.359
136	53.062	764.792
137	53.126	814.369
138	53.190	421.532
139	53.254	199.012
140	53.318	129.579
141	53.382	108.676
142	53.446	99.877
143	53.510	93.807
144	53.574	90.684
145	53.638	89.049
146	53.702	87.594
147	53.766	86.747
148	53.830	85.672
149	53.894	84.578
150	53.957	84.332
151	54.021	84.033
152	54.085	83.572
153	54.149	82.949
154	54.213	83.422
155	54.277	84.083
156	54.341	83.860
157	54.405	82.776
158	54.469	82.379
159	54.533	82.188
160	54.597	81.759
161	54.661	81.785
162	54.725	81.511
163	54.789	80.973
164	54.853	80.604
